delivery_id,from_zone,to_zone,time_slot,traffic,weather,weight_kg,distance_km,actual_time_min
9627b500,ZoneA,ZoneB,Morning,Low,Clear,1,2,3.48
9de26379,ZoneA,ZoneB,Morning,Low,Clear,1,10,18.46
502396c1,ZoneA,ZoneB,Morning,Low,Clear,1,20,37.74
08c9d1eb,ZoneA,ZoneB,Morning,Low,Clear,1,30,58.85
b2de5f90,ZoneA,ZoneB,Morning,Low,Clear,1,40,74.29
6f1533dd,ZoneA,ZoneB,Morning,Low,Clear,1,50,96.92
8d0fb6b7,ZoneA,ZoneB,Morning,Low,Clear,5,2,3.98
f3db5521,ZoneA,ZoneB,Morning,Low,Clear,5,10,17.87
7be040b8,ZoneA,ZoneB,Morning,Low,Clear,5,20,40.93
3bf81c66,ZoneA,ZoneB,Morning,Low,Clear,5,30,61.97
ded437a5,ZoneA,ZoneB,Morning,Low,Clear,5,40,86.02
bc2fabc4,ZoneA,ZoneB,Morning,Low,Clear,5,50,95.67
b736bf82,ZoneA,ZoneB,Morning,Low,Clear,10,2,3.86
161f00bc,ZoneA,ZoneB,Morning,Low,Clear,10,10,23.08
7bfd567f,ZoneA,ZoneB,Morning,Low,Clear,10,20,39.51
f8709582,ZoneA,ZoneB,Morning,Low,Clear,10,30,52.69
f1cf4d9f,ZoneA,ZoneB,Morning,Low,Clear,10,40,92.11
e3655a6b,ZoneA,ZoneB,Morning,Low,Clear,10,50,97.3
3c8b5bac,ZoneA,ZoneB,Morning,Low,Clear,15,2,3.51
49988bae,ZoneA,ZoneB,Morning,Low,Clear,15,10,20.14
40291b93,ZoneA,ZoneB,Morning,Low,Clear,15,20,45.21
364f1855,ZoneA,ZoneB,Morning,Low,Clear,15,30,65.25
181a7efb,ZoneA,ZoneB,Morning,Low,Clear,15,40,86.15
1f9c830b,ZoneA,ZoneB,Morning,Low,Clear,15,50,112.12
d9d783e4,ZoneA,ZoneB,Morning,Low,Clear,20,2,4.04
3101aabf,ZoneA,ZoneB,Morning,Low,Clear,20,10,20.88
0e1d6baf,ZoneA,ZoneB,Morning,Low,Clear,20,20,43.38
bb1c91b0,ZoneA,ZoneB,Morning,Low,Clear,20,30,68.23
562f2f0d,ZoneA,ZoneB,Morning,Low,Clear,20,40,87.74
9d654403,ZoneA,ZoneB,Morning,Low,Clear,20,50,100.03
